-00:00:01.5560000		Yoo Rose casts Ruin III on Ramuh
00:00:50.8170000		Ifrit-Egi prepares Burning Strike on Ramuh 9150 (CRITICAL)
00:00:50.8170000		Blue Fever prepares Shot on Ramuh 4917 (DIRECT HIT)
00:00:50.9060000		Minju Rose prepares Fast Blade on Ramuh 5601
00:00:50.9510000		Run Escape prepares Ruin III on Ramuh 17775 (DIRECT HIT)
00:00:51.2630000		Ruby Carbuncle Burning Strike Ramuh 4158
00:00:51.3530000		Yujin Ahn prepares Heavy Swing on Ramuh 6033
00:00:51.3530000		Minju Rose gains Mage's Ballad from Blue Fever
00:00:51.3530000		Yoo Rose gains Mage's Ballad from Blue Fever
00:00:51.3530000		Ruby Carbuncle gains Mage's Ballad from Blue Fever
00:00:51.3530000		Ifrit-Egi gains Mage's Ballad from Blue Fever
00:00:51.3530000		Eos gains Mage's Ballad from Blue Fever
00:00:51.3530000		Dengue Fever gains Mage's Ballad from Blue Fever
00:00:51.3530000		Yujin Ahn gains Mage's Ballad from Blue Fever
00:00:51.3530000		Aihyooni Yoomi gains Mage's Ballad from Blue Fever
00:00:51.3530000		Run Escape gains Mage's Ballad from Blue Fever
00:00:51.4860000		Raiden prepares Unknown_4E61 on Yujin Ahn 9226
00:00:51.5300000		Minju Rose Fast Blade Ramuh 5601
00:00:51.5750000		Blue Fever Shot Ramuh 4917
00:00:51.5750000		Blue Fever prepares Iron Jaws on Ramuh 4845
00:00:51.6200000		Ifrit-Egi Burning Strike Ramuh 9150
00:00:51.7530000		Run Escape Ruin III Ramuh 17775
00:00:51.8420000		Dengue Fever prepares Swiftcast on Dengue Fever 
00:00:51.8420000		Dengue Fever gains Swiftcast from Dengue Fever
00:00:51.8870000		Yujin Ahn Heavy Swing Ramuh 6033
00:00:51.9760000		Yoo Rose prepares Ruin III on Ramuh 13273
00:00:52.1090000		Ramuh prepares Fury's Bolt on Ramuh 
00:00:52.1980000		Blue Fever Iron Jaws Ramuh 4845
00:00:52.1980000		Ramuh gains Stormbite from Blue Fever
00:00:52.1980000		Ramuh gains Caustic Bite from Blue Fever
00:00:52.2430000		Ramuh prepares Unknown_4Bc9 on Minju Rose 26738
00:00:52.3770000		Minju Rose prepares Attack on Ramuh 2314
00:00:52.3770000		Aihyooni Yoomi prepares Broil III on Ramuh 17508
00:00:52.5100000		Raiden Unknown_4E61 Yujin Ahn 9226
00:00:52.6440000		Dengue Fever prepares Raise on Dan Tam 
00:00:52.6890000		Blue Fever prepares Empyreal Arrow on Ramuh 20690 (CRITICAL)
00:00:52.7770000		Yoo Rose Ruin III Ramuh 13273
00:00:52.7770000		Eos prepares Embrace on Yujin Ahn +4313
00:00:52.8220000		Ramuh gains Fury's Bolt from Ramuh
00:00:52.8660000		The limit break guage has been updated to 3060. 3 bars are available.
00:00:52.9110000		Minju Rose Attack Ramuh 2314
00:00:53.0440000		Ramuh Unknown_4Bc9 Minju Rose 26738
00:00:53.1770000		Aihyooni Yoomi Broil III Ramuh 17508
00:00:53.1770000		Yujin Ahn prepares Attack on Ramuh 4164
00:00:53.3110000		Minju Rose prepares Riot Blade on Ramuh 7882
00:00:53.3990000		Eos Embrace Yujin Ahn 4313
00:00:53.4890000		Blue Fever prepares Bloodletter on Ramuh 7032
00:00:53.4890000		Run Escape prepares Ruin III on Ramuh 26661 (CRITICAL)
00:00:53.6670000		Dengue Fever gains Surge Protection from 
00:00:53.6670000		Yujin Ahn prepares Maim on Ramuh 9145
00:00:53.7120000		Blue Fever Empyreal Arrow Ramuh 20690
00:00:53.7120000		Yujin Ahn Attack Ramuh 4164
00:00:53.7120000		Ruby Carbuncle prepares Burning Strike on Ramuh 4020
00:00:53.8000000		Dan Tam gains Raise from Dengue Fever
00:00:53.8900000		Blue Fever prepares Shot on Ramuh 4095
00:00:54.0680000		Minju Rose Riot Blade Ramuh 7882
00:00:54.0680000		Ifrit-Egi prepares Burning Strike on Ramuh 8278 (CRITICAL)
00:00:54.2920000		Yujin Ahn Maim Ramuh 9145
00:00:54.2920000		Run Escape Ruin III Ramuh 26661
00:00:54.3810000		Minju Rose gains Mage's Ballad from Blue Fever
00:00:54.3810000		Yoo Rose gains Mage's Ballad from Blue Fever
00:00:54.3810000		Ruby Carbuncle gains Mage's Ballad from Blue Fever
00:00:54.3810000		Ifrit-Egi gains Mage's Ballad from Blue Fever
00:00:54.3810000		Eos gains Mage's Ballad from Blue Fever
00:00:54.3810000		Dengue Fever gains Mage's Ballad from Blue Fever
00:00:54.3810000		Yujin Ahn gains Mage's Ballad from Blue Fever
00:00:54.3810000		Aihyooni Yoomi gains Mage's Ballad from Blue Fever
00:00:54.3810000		Run Escape gains Mage's Ballad from Blue Fever
00:00:54.4250000		Blue Fever prepares Burst Shot on Ramuh 11141
00:00:54.4250000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:54.5140000		Ruby Carbuncle Burning Strike Ramuh 4020
00:00:54.5140000		Raiden prepares Unknown_4E61 on Yujin Ahn 8723
00:00:54.6480000		Blue Fever Shot Ramuh 4095
00:00:54.6480000		Minju Rose prepares Attack on Ramuh 2995 (DIRECT HIT)
00:00:54.8710000		Ifrit-Egi Burning Strike Ramuh 8278
00:00:54.9150000		Yoo Rose prepares Ruin III on Ramuh 12864
00:00:55.0930000		Blue Fever Bloodletter Ramuh 7032
00:00:55.1820000		Minju Rose Attack Ramuh 2995
00:00:55.2720000		Aihyooni Yoomi prepares Broil III on Ramuh 18777
00:00:55.2720000		Ramuh prepares Unknown_4Bc9 on Minju Rose 27141
00:00:55.5380000		Raiden Unknown_4E61 Yujin Ahn 8723
00:00:55.6730000		Minju Rose prepares Royal Authority on Ramuh 14081
00:00:55.6730000		Minju Rose gains Sword Oath from Minju Rose
00:00:55.7170000		Yoo Rose Ruin III Ramuh 12864
00:00:55.8510000		The limit break guage has been updated to 3230. 3 bars are available.
00:00:55.8960000		Blue Fever Burst Shot Ramuh 11141
00:00:55.8960000		Aihyooni Yoomi prepares Ruin II on Ramuh 12311
00:00:56.0290000		Yujin Ahn prepares Storm's Path on Ramuh 11596
00:00:56.0740000		Aihyooni Yoomi Broil III Ramuh 18777
00:00:56.0740000		Ramuh Unknown_4Bc9 Minju Rose 27141
00:00:56.0740000		Eos prepares Embrace on Yujin Ahn +6708 (CRITICAL)
00:00:56.1180000		Run Escape prepares Ruin III on Ramuh 13641
00:00:56.2510000		Minju Rose Royal Authority Ramuh 14081
00:00:56.5630000		Yujin Ahn prepares Attack on Ramuh 3821
00:00:56.6520000		Aihyooni Yoomi prepares Fey Illumination on Aihyooni Yoomi 
00:00:56.6960000		Eos Embrace Yujin Ahn 6708
00:00:56.7410000		Minju Rose prepares Circle Of Scorn on Ramuh 3134
00:00:56.8300000		Aihyooni Yoomi Ruin II Ramuh 12311
00:00:56.9200000		Run Escape Ruin III Ramuh 13641
00:00:56.9200000		Blue Fever prepares Burst Shot on Ramuh 10890
00:00:56.9200000		Minju Rose prepares Attack on Ramuh 2896 (DIRECT HIT)
00:00:56.9200000		Yujin Ahn prepares Nascent Flash on Minju Rose 
00:00:56.9200000		Blue Fever gains Straight Shot Ready from Blue Fever
00:00:56.9640000		Ruby Carbuncle prepares Burning Strike on Ramuh 3971
00:00:56.9640000		Blue Fever prepares Shot on Ramuh 6121 (CRITICAL)
00:00:57.0980000		Yujin Ahn Attack Ramuh 3821
00:00:57.0980000		Dengue Fever prepares Glare on Ramuh 30197 (CRITICAL)
00:00:57.3210000		Ifrit-Egi prepares Burning Strike on Ramuh 8433 (CRITICAL)
00:00:57.3660000		Minju Rose gains Mage's Ballad from Blue Fever
00:00:57.3660000		Yoo Rose gains Mage's Ballad from Blue Fever
00:00:57.3660000		Ruby Carbuncle gains Mage's Ballad from Blue Fever
00:00:57.3660000		Ifrit-Egi gains Mage's Ballad from Blue Fever
00:00:57.3660000		Eos gains Mage's Ballad from Blue Fever
00:00:57.3660000		Dengue Fever gains Mage's Ballad from Blue Fever
00:00:57.3660000		Yujin Ahn gains Mage's Ballad from Blue Fever
00:00:57.3660000		Aihyooni Yoomi gains Mage's Ballad from Blue Fever
00:00:57.3660000		Run Escape gains Mage's Ballad from Blue Fever
00:00:57.4540000		Minju Rose Attack Ramuh 2896
00:00:57.4540000		Eos gains Summon Order II from Eos
00:00:57.4540000		Yoo Rose prepares Ruin III on Ramuh 12506
00:00:57.5430000		Yujin Ahn Storm's Path Ramuh 11596
00:00:57.5430000		Minju Rose gains Nascent Glint from Yujin Ahn
00:00:57.5430000		Yujin Ahn gains Nascent Flash from Yujin Ahn
00:00:57.5430000		Raiden prepares Unknown_4E61 on Yujin Ahn 8610
00:00:57.5880000		Blue Fever prepares Bloodletter on Ramuh 10880 (CRITICAL)
00:00:57.7220000		Blue Fever Shot Ramuh 6121
00:00:57.7220000		Eos prepares Fey Illumination on Yoo Rose +317 (CRITICAL)
00:00:57.7220000		Eos prepares Fey Illumination on Aihyooni Yoomi +317 (CRITICAL)
00:00:57.7220000		Eos prepares Fey Illumination on Yujin Ahn +317 (CRITICAL)
00:00:57.7220000		Eos prepares Fey Illumination on Minju Rose +317 (CRITICAL)
00:00:57.7220000		Eos prepares Fey Illumination on Dengue Fever +317 (CRITICAL)
00:00:57.7220000		Eos prepares Fey Illumination on Blue Fever +317 (CRITICAL)
00:00:57.7220000		Eos prepares Fey Illumination on Run Escape +317 (CRITICAL)
00:00:57.7660000		Minju Rose Circle Of Scorn Ramuh 3134
00:00:57.7660000		Ramuh gains Circle Of Scorn from Minju Rose
00:00:57.7660000		Ruby Carbuncle Burning Strike Ramuh 3971
00:00:58.0790000		Yoo Rose prepares Ruin IV on Ramuh 19616
00:00:58.0790000		Yoo Rose gains Further Ruin from Yoo Rose
00:00:58.1230000		Ifrit-Egi Burning Strike Ramuh 8433
00:00:58.1230000		Minju Rose prepares Atonement on Ramuh 14619
00:00:58.1230000		Minju Rose gains Sword Oath from Minju Rose
00:00:58.2570000		Yoo Rose Ruin III Ramuh 12506
00:00:58.3910000		Blue Fever Burst Shot Ramuh 10890
00:00:58.3910000		Dengue Fever Glare Ramuh 30197
00:00:58.3910000		Yujin Ahn prepares Heavy Swing on Ramuh 9523 (CRITICAL)
00:00:58.5680000		Raiden Unknown_4E61 Yujin Ahn 8610
00:00:58.7480000		Run Escape prepares Ruin III on Ramuh 26223 (CRITICAL)
00:00:58.7920000		Yoo Rose prepares Firebird Trance on Yoo Rose 
00:00:58.8820000		Yoo Rose Ruin IV Ramuh 19616
00:00:58.8820000		The limit break guage has been updated to 3400. 3 bars are available.
00:00:58.9350000		Yoo Rose gains Fey Illumination from Eos
00:00:58.9350000		Yujin Ahn Heavy Swing Ramuh 9523
00:00:59.0600000		Aihyooni Yoomi gains Fey Illumination from Eos
00:00:59.1940000		Blue Fever Bloodletter Ramuh 10880
00:00:59.1940000		Yujin Ahn gains Fey Illumination from Eos
00:00:59.1940000		Minju Rose prepares Attack on Ramuh 3691 (CRITICAL)
00:00:59.2840000		Eos prepares Embrace on Minju Rose +4372
00:00:59.3280000		Minju Rose gains Fey Illumination from Eos
00:00:59.4170000		Minju Rose Atonement Ramuh 14619
00:00:59.4170000		Blue Fever prepares Refulgent Arrow on Ramuh 16310
00:00:59.4620000		Dengue Fever gains Fey Illumination from Eos
00:00:59.4620000		Yoo Rose prepares Tri-Disaster on Ramuh 30284 (CRITICAL)
00:00:59.4620000		Ramuh gains Bio III from Yoo Rose
00:00:59.4620000		Ramuh gains Miasma III from Yoo Rose
00:00:59.5510000		Run Escape Ruin III Ramuh 26223
00:00:59.5960000		Blue Fever gains Fey Illumination from Eos
00:00:59.7290000		Minju Rose Attack Ramuh 3691
00:00:59.7290000		Run Escape gains Fey Illumination from Eos
00:00:59.7740000		Dan Tam gains Weakness from 
00:00:59.8180000		Demi-Phoenix prepares Everlasting Flight on Yoo Rose +1868 (CRITICAL)
00:00:59.8180000		Demi-Phoenix prepares Everlasting Flight on Aihyooni Yoomi +1868 (CRITICAL)
00:00:59.8180000		Demi-Phoenix prepares Everlasting Flight on Minju Rose +1868 (CRITICAL)
00:00:59.8180000		Demi-Phoenix prepares Everlasting Flight on Yujin Ahn +1868 (CRITICAL)
00:00:59.8180000		Demi-Phoenix prepares Everlasting Flight on Dengue Fever +1868 (CRITICAL)
00:00:59.9070000		Eos Embrace Minju Rose 4372
00:00:59.9520000		Yujin Ahn prepares Attack on Ramuh 4085
00:00:59.9970000		Minju Rose prepares Sheltron on Minju Rose 1856
00:00:59.9970000		Minju Rose gains Sheltron from Minju Rose
00:01:00.0410000		Blue Fever prepares Shot on Ramuh 5271 (DIRECT HIT)
00:01:00.0870000		Dengue Fever prepares Glare on Ramuh 30558 (CRITICAL)
00:01:00.2650000		Yoo Rose Tri-Disaster Ramuh 30284
00:01:00.2650000		Aihyooni Yoomi prepares Broil III on Ramuh 35514 (CRITICAL)
00:01:00.3540000		Eos prepares Fey Illumination on Yoo Rose +317 (CRITICAL)
00:01:00.3540000		Eos prepares Fey Illumination on Aihyooni Yoomi +317 (CRITICAL)
00:01:00.3540000		Eos prepares Fey Illumination on Minju Rose +317 (CRITICAL)
00:01:00.3540000		Eos prepares Fey Illumination on Yujin Ahn +317 (CRITICAL)
00:01:00.3540000		Eos prepares Fey Illumination on Dengue Fever +317 (CRITICAL)
00:01:00.3540000		Eos prepares Fey Illumination on Blue Fever +317 (CRITICAL)
00:01:00.3540000		Eos prepares Fey Illumination on Run Escape +317 (CRITICAL)
00:01:00.3540000		Eos prepares Fey Illumination on Dan Tam +317 (CRITICAL)
00:01:00.3540000		Minju Rose gains Mage's Ballad from Blue Fever
00:01:00.3540000		Dan Tam gains Mage's Ballad from Blue Fever
00:01:00.3540000		Yoo Rose gains Mage's Ballad from Blue Fever
00:01:00.3540000		Ifrit-Egi gains Mage's Ballad from Blue Fever
00:01:00.3540000		Eos gains Mage's Ballad from Blue Fever
00:01:00.3540000		Demi-Phoenix gains Mage's Ballad from Blue Fever
00:01:00.3540000		Demi-Phoenix gains Well Fed from Yoo Rose
00:01:00.3540000		Dengue Fever gains Mage's Ballad from Blue Fever
00:01:00.3540000		Yujin Ahn gains Mage's Ballad from Blue Fever
00:01:00.3540000		Aihyooni Yoomi gains Mage's Ballad from Blue Fever
00:01:00.3540000		Run Escape gains Mage's Ballad from Blue Fever
00:01:00.4870000		Yujin Ahn Attack Ramuh 4085
00:01:00.5320000		Yoo Rose prepares Fountain Of Fire on Ramuh 19203 (DIRECT HIT)
00:01:00.5320000		Yoo Rose gains Hellish Conduit from Yoo Rose
00:01:00.5770000		Ifrit-Egi prepares Burning Strike on Ramuh 4225
00:01:00.5770000		Demi-Phoenix prepares Scarlet Flame on Ramuh 14780 (CRITICAL)
00:01:00.5770000		Raiden prepares Unknown_4E61 on Yujin Ahn 8553
00:01:00.7110000		Minju Rose prepares Atonement on Ramuh 22882 (CRITICAL)
00:01:00.7110000		Minju Rose gains Sword Oath from Minju Rose
00:01:00.7550000		Yoo Rose gains Everlasting Flight from Demi-Phoenix
00:01:00.8000000		Blue Fever Shot Ramuh 5271
00:01:00.8000000		Dan Tam prepares Jin on Dan Tam 
00:01:00.8000000		Yujin Ahn prepares Maim on Ramuh 9142
00:01:00.8000000		Dan Tam gains Mudra from Dan Tam
00:01:00.8890000		Blue Fever Refulgent Arrow Ramuh 16310
00:01:00.8890000		Aihyooni Yoomi gains Everlasting Flight from Demi-Phoenix
00:01:01.0230000		Minju Rose gains Everlasting Flight from Demi-Phoenix
00:01:01.0670000		Aihyooni Yoomi Broil III Ramuh 35514
00:01:01.1570000		Yujin Ahn gains Everlasting Flight from Demi-Phoenix
00:01:01.2910000		Dengue Fever gains Everlasting Flight from Demi-Phoenix
00:01:01.2910000		Dan Tam prepares Chi on Dan Tam 
00:01:01.2910000		Dan Tam gains Mudra from Dan Tam
00:01:01.3800000		Ifrit-Egi Burning Strike Ramuh 4225
00:01:01.3800000		Dengue Fever Glare Ramuh 30558
00:01:01.3800000		Run Escape prepares Ruin III on Ramuh 12992
00:01:01.4240000		Yujin Ahn Maim Ramuh 9142
00:01:01.4240000		Minju Rose prepares Spirits Within on Ramuh 16408 (CRITICAL)
00:01:01.4690000		Minju Rose prepares Attack on Ramuh 2898 (DIRECT HIT)
00:01:01.4690000		Yoo Rose prepares Enkindle Phoenix on Ramuh 
00:01:01.5130000		Yujin Ahn prepares Onslaught on Ramuh 3048
00:01:01.5580000		Yoo Rose gains Fey Illumination from Eos
00:01:01.6020000		Yoo Rose Fountain Of Fire Ramuh 19203
00:01:01.6020000		Raiden Unknown_4E61 Yujin Ahn 8553
00:01:01.6020000		Demi-Phoenix Scarlet Flame Ramuh 14780
00:01:01.6910000		Aihyooni Yoomi gains Fey Illumination from Eos
00:01:01.7810000		Dan Tam prepares Ten on Dan Tam 
00:01:01.7810000		Dan Tam gains Mudra from Dan Tam
00:01:01.8250000		Minju Rose gains Fey Illumination from Eos
00:01:01.8250000		Dengue Fever prepares Benediction on Dan Tam +111517
00:01:01.8700000		Blue Fever prepares Burst Shot on Ramuh 10862
00:01:01.8700000		The limit break guage has been updated to 3570. 3 bars are available.
00:01:01.8700000		Blue Fever gains Straight Shot Ready from Blue Fever
00:01:01.9580000		Yujin Ahn gains Fey Illumination from Eos
00:01:02.0030000		Minju Rose Atonement Ramuh 22882
00:01:02.0030000		Minju Rose Attack Ramuh 2898
00:01:02.0920000		Demi-Phoenix gains Summon Order III from Ramuh
00:01:02.0920000		Dengue Fever gains Fey Illumination from Eos
00:01:02.1370000		Yujin Ahn Onslaught Ramuh 3048
00:01:02.1370000		Demi-Phoenix prepares Revelation on Ramuh 51652 (CRITICAL)
00:01:02.1370000		Yoo Rose prepares Fester on Ramuh 29582 (CRITICAL)
00:01:02.1810000		Run Escape Ruin III Ramuh 12992
00:01:02.2260000		Blue Fever gains Fey Illumination from Eos
00:01:02.2710000		Dan Tam prepares Huton on Dan Tam 
00:01:02.3150000		Minju Rose Spirits Within Ramuh 16408
00:01:02.3590000		Run Escape gains Fey Illumination from Eos
00:01:02.4930000		Dan Tam gains Fey Illumination from Eos
00:01:02.8050000		Blue Fever prepares Bloodletter on Ramuh 7428
00:01:02.8940000		Aihyooni Yoomi prepares Broil III on Ramuh 17926
00:01:02.9390000		Eos prepares Embrace on Minju Rose +4206
00:01:02.9840000		Yoo Rose prepares Brand Of Purgatory on Ramuh 35047 (CRITICAL)
00:01:03.0730000		Yoo Rose Fester Ramuh 29582
00:01:03.0730000		Minju Rose prepares Atonement on Ramuh 24021 (CRITICAL)
00:01:03.1180000		Blue Fever prepares Shot on Ramuh 4057
00:01:03.1180000		Yujin Ahn prepares Storm's Eye on Ramuh 17294 (CRITICAL)
00:01:03.1620000		Demi-Phoenix Revelation Ramuh 51652
00:01:03.2510000		Ramuh prepares Judgment Volts on Ramuh 
00:01:03.3400000		Blue Fever Burst Shot Ramuh 10862
00:01:03.3400000		Yujin Ahn prepares Attack on Ramuh 3545
00:01:03.3850000		Minju Rose gains Mage's Ballad from Blue Fever
00:01:03.3850000		Dan Tam gains Mage's Ballad from Blue Fever
00:01:03.3850000		Yoo Rose gains Mage's Ballad from Blue Fever
00:01:03.3850000		Ifrit-Egi gains Mage's Ballad from Blue Fever
00:01:03.3850000		Eos gains Mage's Ballad from Blue Fever
00:01:03.3850000		Demi-Phoenix gains Mage's Ballad from Blue Fever
00:01:03.3850000		Dengue Fever gains Mage's Ballad from Blue Fever
00:01:03.3850000		Yujin Ahn gains Mage's Ballad from Blue Fever
00:01:03.3850000		Aihyooni Yoomi gains Mage's Ballad from Blue Fever
00:01:03.3850000		Run Escape gains Mage's Ballad from Blue Fever
00:01:03.5180000		Aihyooni Yoomi prepares Biolysis on Ramuh 
00:01:03.5620000		Eos Embrace Minju Rose 4206
00:01:03.6070000		Raiden prepares Unknown_4E61 on Yujin Ahn 8730
00:01:03.6960000		Aihyooni Yoomi Broil III Ramuh 17926
00:01:03.7410000		Ramuh prepares Judgment Volts on Aihyooni Yoomi 63248
00:01:03.7410000		Ramuh prepares Judgment Volts on Dan Tam 271662
00:01:03.7410000		Ramuh prepares Judgment Volts on Yujin Ahn 41290
00:01:03.7410000		Ramuh prepares Judgment Volts on Yoo Rose 66069
00:01:03.7410000		Ramuh prepares Judgment Volts on Minju Rose +35601 (CRITICAL)
00:01:03.7410000		Ramuh prepares Judgment Volts on Dengue Fever 65333
00:01:03.7410000		Ramuh prepares Judgment Volts on Run Escape 65310
00:01:03.7410000		Ramuh prepares Judgment Volts on Blue Fever 73195
00:01:03.7410000		Minju Rose prepares Attack on Ramuh 2337
00:01:03.7410000		Dan Tam prepares Shade Shift on Dan Tam 
00:01:03.7860000		Yoo Rose Brand Of Purgatory Ramuh 35047
00:01:03.8300000		Ifrit-Egi prepares Burning Strike on Ramuh 6412 (CRITICAL)
00:01:03.8750000		Blue Fever Shot Ramuh 4057
00:01:03.8750000		Yujin Ahn Attack Ramuh 3545
00:01:03.9650000		Run Escape prepares Ruin III on Ramuh 16623 (DIRECT HIT)
00:01:04.1430000		Dan Tam gains Shade Shift from Dan Tam
00:01:04.1430000		Ramuh gains Biolysis from Aihyooni Yoomi
00:01:04.1430000		Demi-Phoenix prepares Scarlet Flame on Ramuh 7548
00:01:04.1430000		Dan Tam gains Vulnerability Up from Ramuh
00:01:04.1870000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:01:04.1870000		Aihyooni Yoomi prepares Aetherflow on Aihyooni Yoomi 1000
00:01:04.2770000		Ramuh Judgment Volts Aihyooni Yoomi 63248
00:01:04.2770000		Minju Rose Attack Ramuh 2337
00:01:04.3220000		Dengue Fever Benediction Dan Tam 111517
00:01:04.3220000		Ramuh prepares Unknown_4Bc9 on Minju Rose +20452 (CRITICAL)
00:01:04.3650000		Ramuh Judgment Volts Yujin Ahn 41290
00:01:04.3650000		Minju Rose Atonement Ramuh 24021
00:01:04.3660000		Blue Fever prepares Refulgent Arrow on Ramuh 20351 (DIRECT HIT)
00:01:04.3660000		Yujin Ahn gains Surge Protection from 
00:01:04.4110000		Ramuh Judgment Volts Yoo Rose 66069
00:01:04.4110000		Blue Fever Bloodletter Ramuh 7428
00:01:04.4560000		Ramuh Judgment Volts Minju Rose 35601
00:01:04.5000000		Ramuh Judgment Volts Dengue Fever 65333
00:01:04.5450000		Ramuh Judgment Volts Run Escape 65310
00:01:04.5890000		Ramuh Judgment Volts Blue Fever 73195
00:01:04.6340000		Ifrit-Egi Burning Strike Ramuh 6412
00:01:04.6340000		Raiden Unknown_4E61 Yujin Ahn 8730
00:01:04.6340000		Run Escape prepares Ruin IV on Ramuh 40023 (CRITICAL)
00:01:04.6340000		Run Escape gains Further Ruin from Run Escape
00:01:04.6790000		Minju Rose prepares Fight Or Flight on Minju Rose 
00:01:04.7670000		Yujin Ahn Storm's Eye Ramuh 17294
00:01:04.7670000		Yujin Ahn gains Storm's Eye from Yujin Ahn
00:01:04.7670000		Run Escape Ruin III Ramuh 16623
00:01:04.8560000		The limit break guage has been updated to 3740. 3 bars are available.
00:01:04.9450000		Aihyooni Yoomi gains Aetherflow from Aihyooni Yoomi
00:01:04.9450000		Aihyooni Yoomi prepares Energy Drain on Ramuh 9386
00:01:05.0340000		Blue Fever prepares Army's Paeon on Ramuh 4099
00:01:05.0340000		Minju Rose gains Army's Paeon from Blue Fever
00:01:05.0340000		Yoo Rose gains Army's Paeon from Blue Fever
00:01:05.0340000		Ifrit-Egi gains Army's Paeon from Blue Fever
00:01:05.0340000		Eos gains Army's Paeon from Blue Fever
00:01:05.0340000		Demi-Phoenix gains Army's Paeon from Blue Fever
00:01:05.0340000		Dengue Fever gains Army's Paeon from Blue Fever
00:01:05.0340000		Yujin Ahn gains Army's Paeon from Blue Fever
00:01:05.0340000		Aihyooni Yoomi gains Army's Paeon from Blue Fever
00:01:05.0340000		Run Escape gains Army's Paeon from Blue Fever
00:01:05.1230000		Ramuh Unknown_4Bc9 Minju Rose 20452
00:01:05.1670000		Demi-Phoenix Scarlet Flame Ramuh 7548
00:01:05.3460000		Minju Rose gains Fight Or Flight from Minju Rose
00:01:05.3900000		Run Escape gains Aetherflow from Run Escape
00:01:05.3900000		Run Escape prepares Energy Drain on Ramuh 10472 (CRITICAL)
00:01:05.4350000		Run Escape Ruin IV Ramuh 40023
00:01:05.4800000		Minju Rose prepares Fast Blade on Ramuh 6462
00:01:05.4800000		Yoo Rose prepares Fountain Of Fire on Ramuh 30998 (CRITICAL)
00:01:05.4800000		Yoo Rose gains Hellish Conduit from Yoo Rose
00:01:05.5690000		Dengue Fever prepares Medica II on Dengue Fever +10216
00:01:05.5690000		Dengue Fever prepares Medica II on Blue Fever +9748
00:01:05.5690000		Dengue Fever prepares Medica II on Minju Rose +9824
00:01:05.5690000		Dengue Fever prepares Medica II on Yoo Rose +10138
00:01:05.5690000		Dengue Fever prepares Medica II on Aihyooni Yoomi +15767 (CRITICAL)
00:01:05.5690000		Dengue Fever prepares Medica II on Yujin Ahn +15825 (CRITICAL)
00:01:05.5690000		Dengue Fever prepares Medica II on Run Escape +9805
00:01:05.6580000		Blue Fever Army's Paeon Ramuh 4099
00:01:05.6580000		Demi-Phoenix prepares Scarlet Flame on Ramuh 7346
00:01:05.8360000		Blue Fever Refulgent Arrow Ramuh 20351
00:01:05.9700000		Aihyooni Yoomi Energy Drain Ramuh 9386
00:01:05.9700000		Yujin Ahn prepares Heavy Swing on Ramuh 9441 (CRITICAL)
00:01:06.0140000		Minju Rose prepares Attack on Ramuh 3671 (DIRECT HIT)
00:01:06.0140000		Aihyooni Yoomi prepares Ruin II on Ramuh 12786
00:01:06.1030000		Minju Rose Fast Blade Ramuh 6462
00:01:06.1930000		Blue Fever prepares Shot on Ramuh 3851
00:01:06.1930000		Run Escape gains Aetherflow from Run Escape
00:01:06.1930000		Run Escape prepares Fester on Ramuh 20264
00:01:06.3270000		Dan Tam dies.
00:01:06.4170000		Dengue Fever Medica II Dengue Fever 10216
00:01:06.4170000		Dengue Fever gains Medica II from Dengue Fever
00:01:06.4170000		Run Escape Energy Drain Ramuh 10472
00:01:06.4170000		Eos prepares Embrace on Yoo Rose +4279
00:01:06.5070000		Yujin Ahn Heavy Swing Ramuh 9441
00:01:06.5510000		Minju Rose Attack Ramuh 3671
00:01:06.5510000		Yoo Rose Fountain Of Fire Ramuh 30998
00:01:06.5510000		Dengue Fever Medica II Blue Fever 9748
00:01:06.5510000		Blue Fever gains Medica II from Dengue Fever
00:01:06.6850000		Demi-Phoenix Scarlet Flame Ramuh 7346
00:01:06.6850000		Dengue Fever Medica II Minju Rose 9824
00:01:06.6850000		Minju Rose gains Medica II from Dengue Fever
00:01:06.7290000		Yujin Ahn prepares Attack on Ramuh 4099
00:01:06.7290000		Aihyooni Yoomi prepares Fey Blessing on Aihyooni Yoomi 
00:01:06.8180000		Dengue Fever Medica II Yoo Rose 10138
00:01:06.8180000		Yoo Rose gains Medica II from Dengue Fever
00:01:06.8180000		Blue Fever prepares Burst Shot on Ramuh 14152 (DIRECT HIT)
00:01:06.9520000		Blue Fever Shot Ramuh 3851
00:01:06.9520000		Dengue Fever Medica II Aihyooni Yoomi 15767
00:01:06.9520000		Aihyooni Yoomi gains Medica II from Dengue Fever
00:01:06.9520000		Aihyooni Yoomi Ruin II Ramuh 12786
00:01:07.0410000		Eos Embrace Yoo Rose 4279
00:01:07.0860000		Dengue Fever Medica II Yujin Ahn 15825
00:01:07.0860000		Yujin Ahn gains Medica II from Dengue Fever
00:01:07.0860000		Ifrit-Egi prepares Burning Strike on Ramuh 4218
00:01:07.1320000		Run Escape Fester Ramuh 20264
00:01:07.1320000		Yujin Ahn gains Surge Protection from 
00:01:07.1320000		Run Escape prepares Ruin IV on Ramuh 30703 (CRITICAL)
